which_bank,census_tract,accept,received,loan_amount,income
All Other Banks,4013114402.0,0,2,320000.0,116.5
All Other Banks,4013114500.0,1,2,100000.0,44.0
All Other Banks,4013114600.0,1,2,340000.0,47.0
All Other Banks,4013114703.0,0,1,25000.0,57.0
All Other Banks,4013114800.0,0,6,1080000.0,31.0
All Other Banks,4013115200.0,0,2,380000.0,191.5
All Other Banks,4013115300.0,0,2,500000.0,1957.5
All Other Banks,4013115500.0,0,2,420000.0,46.0
All Other Banks,4013115600.0,1,9,1875000.0,58.0
All Other Banks,4013115700.0,2,4,710000.0,81.0
All Other Banks,4013115801.0,1,4,660000.0,34.5
All Other Banks,4013115802.0,0,2,430000.0,25.5
All Other Banks,4013115900.0,2,11,2405000.0,57.5
All Other Banks,4013116000.0,1,8,1680000.0,50.0
All Other Banks,4013116100.0,0,4,1170000.0,109.5
All Other Banks,4013116202.0,0,1,315000.0,62.0
All Other Banks,4013116203.0,2,14,4160000.0,66.0
All Other Banks,4013116204.0,1,3,635000.0,52.0
All Other Banks,4013116205.0,0,3,475000.0,62.0
All Other Banks,4013116300.0,2,7,1415000.0,68.0
All Other Banks,4013116400.0,1,5,1345000.0,75.0
All Other Banks,4013116500.0,1,5,1215000.0,76.0
All Other Banks,4013116602.0,5,8,1780000.0,47.5
All Other Banks,4013116603.0,2,11,2525000.0,76.0
All Other Banks,4013116604.0,0,6,1810000.0,101.5
All Other Banks,4013116605.0,2,13,2955000.0,79.0
All Other Banks,4013116606.0,3,10,2520000.0,97.5
All Other Banks,4013116607.0,1,4,830000.0,15.0
All Other Banks,4013116608.0,0,5,1035000.0,73.0
All Other Banks,4013116609.0,3,10,3230000.0,95.5
All Other Banks,4013116610.0,3,15,3315000.0,80.5
All Other Banks,4013116611.0,1,4,1240000.0,93.5
All Other Banks,4013116612.0,0,14,4410000.0,76.0
All Other Banks,4013116613.0,3,20,5850000.0,86.5
All Other Banks,4013116702.0,1,9,2475000.0,49.0
All Other Banks,4013116703.0,1,6,1690000.0,135.0
All Other Banks,4013116704.0,1,12,3820000.0,121.0
All Other Banks,4013116707.0,1,4,1080000.0,63.0
All Other Banks,4013116708.0,1,12,2460000.0,98.5
All Other Banks,4013116709.0,0,2,540000.0,128.5
All Other Banks,4013116710.0,1,6,4160000.0,142.5
All Other Banks,4013116711.0,0,2,520000.0,112.5
All Other Banks,4013116712.0,2,15,3665000.0,73.0
All Other Banks,4013116713.0,0,8,2910000.0,98.5
All Other Banks,4013116714.0,1,8,2240000.0,150.5
All Other Banks,4013116715.0,0,1,45000.0,22.0
All Other Banks,4013116717.0,0,3,605000.0,76.0
